channel,t_exponent,p_exponent,t_offset,p_offset,n_subjects,subjects_included
F3,0.830721088931801,0.4097891925106404,1.8888240052423115,0.06429093053973106,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
F4,0.9488767937614837,0.34691066703215845,1.7224508633248803,0.09071131920327609,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
F5,1.284537361465423,0.20443733306197562,2.051825967089934,0.045048780647315795,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
F6,0.26954858344887644,0.7885542525769504,1.7582015316798936,0.08448671052143526,54,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
F7,-0.4848346918071681,0.6297915036272883,0.6553430229353698,0.5150815170076686,54,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-71"
F8,1.3902072496712163,0.17016993098474525,1.7937616287447964,0.0784510337451514,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
FC1,-0.08575221991810378,0.9319927199144593,1.0015594701434667,0.32119443760824223,53,"sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
FC2,-0.4668037332429241,0.6426284011809893,0.32166375858772,0.7490221294585151,52,"sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-45,sub-46,sub-47,sub-48,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
FC3,0.9409186562996197,0.35093681137263566,1.5724533784134764,0.12168690513622561,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
FC4,0.6179244988960105,0.5392225568462643,2.3209567588707656,0.024094191517185483,55,"sub-07,sub-13,sub-14,sub-15,sub-17,sub-18,sub-19,sub-20,sub-21,sub-22,sub-23,sub-24,sub-25,sub-27,sub-28,sub-29,sub-30,sub-31,sub-32,sub-33,sub-34,sub-35,sub-36,sub-37,sub-38,sub-39,sub-41,sub-42,sub-43,sub-44,sub-45,sub-46,sub-47,sub-48,sub-49,sub-50,sub-51,sub-52,sub-53,sub-54,sub-55,sub-56,sub-57,sub-59,sub-60,sub-61,sub-62,sub-63,sub-64,sub-65,sub-66,sub-67,sub-68,sub-70,sub-71"
