channel,n_subjects,t_delta,p_delta,mean_diff_delta,sem_delta,cohen_d_delta,t_theta,p_theta,mean_diff_theta,sem_theta,cohen_d_theta,t_alpha,p_alpha,mean_diff_alpha,sem_alpha,cohen_d_alpha,t_beta,p_beta,mean_diff_beta,sem_beta,cohen_d_beta,t_gamma,p_gamma,mean_diff_gamma,sem_gamma,cohen_d_gamma,t_exponent,p_exponent,mean_diff_exponent,t_offset,p_offset,mean_diff_offset,collinearity_r,any_band_sig,n_sig_bands,offset_only_sig
F8,55,1.5749403741933106,0.12111137941218555,0.06730745590314985,0.042736510540994255,0.2123649167337874,1.0931421536717876,0.27918408680447715,0.04444657582421805,0.04065946562844103,0.1473992579316583,0.7328107268693548,0.46684307936814395,0.03110752346529954,0.04244960168390845,0.0988121782533815,0.2713278101431141,0.7871734862018663,0.013007557246374675,0.047940376032643804,0.036585834456188036,-0.02957881203172547,0.9765120137028354,-0.0016055395695511458,0.05428005586664825,-0.00398840620072308,1.3902072496712163,0.17016993098474525,0.060126786299159456,1.7937616287447964,0.0784510337451514,0.09123430976445907,0.6035924132416163,False,0,False
FC1,53,1.076531209306918,0.2866590238356035,0.05771098418059773,0.05360827784802697,0.14787293401876242,1.0992354506994062,0.276728690876052,0.05873341522646659,0.05343115088682459,0.15099160142046175,1.0877225817771088,0.2817336180124629,0.05932999161403972,0.05454515021385973,0.1494101872526277,1.0479778649686335,0.29949547822744405,0.06013949533076116,0.05738622669531399,0.14395083053783458,1.002149806465498,0.32091199928446745,0.06079305214087961,0.06066263920689846,0.13765586257717033,-0.08575221991810404,0.9319927199144591,-0.002689113139491457,1.0015594701434667,0.32119443760824223,0.05664087847454842,0.3401370632666782,False,0,False
FC2,52,0.4592393249163888,0.6480138035150078,0.022824703199552286,0.04970110781281167,0.06368503591136565,0.5808890299454834,0.5638735748382725,0.028149298380457655,0.048458994626046706,0.08055481472396064,0.6383664357545191,0.5260915122604801,0.03125613651017593,0.04896268782244582,0.08852549679415797,0.6949129195356164,0.4902639169203289,0.03547185316548784,0.051045033367910796,0.09636708320646331,0.7228043260328042,0.4731019224929217,0.038875432757153966,0.053784172779549215,0.10023492537071026,-0.4668037332429241,0.6426284011809893,-0.014004307597365038,0.32166375858772,0.7490221294585151,0.017251828912810945,0.42858222684130637,False,0,False
FC3,55,1.424158281543218,0.16015397711849239,0.05553259239291299,0.038993272807245745,0.19203346350846495,1.0926009889603732,0.2794195816074523,0.042551098021434766,0.03894477348214996,0.14732628729685718,0.8507214291084662,0.39868071191635246,0.03497655003726782,0.04111398730595317,0.11471125409989213,0.5347475761729445,0.5950195532634297,0.02469852885944506,0.046187266590727326,0.07210534846167027,0.31769671968930646,0.7519402703177944,0.016400517872517735,0.05162318921188965,0.04283821694391072,0.9409186562996199,0.35093681137263544,0.03414284731045647,1.5724533784134749,0.12168690513622596,0.06911939734772429,0.48855752356392307,False,0,False
FC4,55,2.4000948629382024,0.019868282475656293,0.08568288583330334,0.035699791352584345,0.323628725298334,2.181850027307596,0.03349186483599667,0.07766466554592019,0.035595785491158806,0.29420059766524054,1.9380074393224611,0.05785822933572708,0.07298612911733732,0.03766039677476868,0.26132086980878866,1.5676788461708284,0.12279795864741973,0.06663775075935463,0.04250727176814452,0.21138577249498133,1.2897653405097065,0.20262870357268936,0.061512356244952895,0.047692672700170115,0.17391192303630015,0.6179244988960105,0.5392225568462643,0.02108885642435838,2.3209567588707656,0.024094191517185483,0.09407498554169581,0.5021818259298468,True,2,True
FC5,55,0.9830769911983727,0.3299538064061197,0.036020287764986586,0.036640352777535544,0.13255807445134415,0.5332592679540009,0.5960421867642729,0.019165540675902936,0.035940379900825575,0.07190466502236732,0.2435092808938306,0.8085336154909477,0.009330995674076158,0.03831885027061637,0.032834784737428714,-0.09086625175586317,0.9279350929129992,-0.0040136503713792205,0.04417096880107897,-0.012252402887270659,-0.2931228411102742,0.7705517764394089,-0.014787516039294343,0.050448187467353356,-0.03952467583227632,1.128055708618253,0.2642835252089706,0.044329954614725706,1.239611877534904,0.22047926084799307,0.053660950288801794,0.5731069341075651,False,0,False
FC6,55,1.144349375220428,0.2575259547382895,0.04255395249451258,0.03718615434758787,0.15430403827670192,0.9119949226437732,0.36582498206764824,0.03232112523456317,0.035440027605491226,0.12297337028272143,0.6998649562254728,0.48701584760991967,0.026350391906320717,0.037650680566196984,0.09436977144601136,0.41707059967129395,0.6782802153604637,0.01824861161222457,0.0437542507829774,0.056237788187169666,0.2318999400117856,0.8174923058780745,0.011707599414357003,0.050485564652418616,0.03126938153223599,0.6408499409625332,0.5243306490227242,0.026913531577562294,1.1730645760409937,0.24591849397633955,0.05326392348388289,0.6313495989185787,False,0,False
FT7,55,1.5107694541163845,0.13667726933950078,0.052030761672363826,0.034439908439104265,0.2037121116357868,1.1144670498337288,0.27001459408140477,0.04157737874225705,0.037306960980551314,0.150274706343543,0.8308795602234762,0.40970043796478295,0.03547795379662614,0.04269927375164201,0.11203577704523736,0.5163163754136955,0.6077414325410389,0.02720154985875725,0.05268387979552685,0.06962008585828663,0.3305839539958922,0.7422380386901846,0.0205195544025822,0.06207063033324712,0.04457593126331706,0.5694101518581399,0.5714389583668293,0.027493618765842612,1.5305550658612421,0.1317170283238736,0.0629715725624688,0.553946099416869,False,0,False
FT8,55,1.2042482983991811,0.23374560245603743,0.04203971380472528,0.034909506503442087,0.16238080743046424,0.7721749492331329,0.4433772402553562,0.02849278629757095,0.03689939219844917,0.10412004891410784,0.5059168547084746,0.6149741691498339,0.02058831478569167,0.04069505610275687,0.06821781477245792,0.20544630137593498,0.8379959754285099,0.00986261527617513,0.048005805945993005,0.027702373626247428,0.021832049422322492,0.9826624022900379,0.0012031689846558244,0.055110217157424854,0.0029438329435641057,0.8961316631498083,0.37416002687992345,0.0356300025379833,1.4239841340140291,0.16020415808076768,0.056218317323675035,0.4725078554399608,False,0,False
Fp1,55,2.046550016909306,0.04558315803140416,0.09763305468538044,0.04770616592739112,0.27595674798487996,1.4476305709859716,0.15350151946352453,0.06315724422665474,0.04362801221007563,0.19519846637126537,0.9539533242991427,0.34435822243559,0.043041017763050735,0.04511857830640971,0.12863104000776693,0.3071827077684447,0.7598858490101648,0.01574499930188599,0.05125613813442462,0.041420507865714336,-0.10711850514761759,0.9150919540076395,-0.006292575555310878,0.058744056842832355,-0.014443856287558373,1.7723171989551865,0.08198316297760605,0.09067541060470771,2.267922368478414,0.02735754954984235,0.13371642836775843,0.6726547039470857,True,1,True
Fp2,54,1.3318367391142516,0.1886132622054224,0.05231524025492379,0.0392805204410538,0.181240023973453,0.7829194999366577,0.4371588190521203,0.03300163215218565,0.042152011994663126,0.10654184913998765,0.45474323010762413,0.651151173199148,0.021732370914973848,0.04779042210222777,0.06188271543048421,0.11031674224803974,0.9125748558677678,0.0064409362449986815,0.0583858452828191,0.01501220714410161,-0.08627418796615201,0.9315735702979642,-0.0059046788011277345,0.06844085050611337,-0.011740429916113179,0.9642269508142595,0.3393112310904195,0.05079704644132457,1.5614405908596216,0.12437175558700389,0.07252941735629835,0.5412703022973943,False,0,False
Fpz,55,1.3741338470241469,0.17507702779818538,0.06086109325372966,0.04429051317346685,0.18528817013395313,1.3239394019505082,0.19110037372429434,0.05681795251302937,0.04291582562564547,0.17851995254093994,1.2092132756016885,0.2318486884176475,0.05445882784904144,0.04503657787080071,0.16305028481987696,1.0084243732675147,0.3177482074104701,0.05125769514669746,0.05082948856205385,0.1359759147523079,0.849107921258514,0.39956990812568804,0.048673244903299946,0.05732280159530063,0.11449368874578791,0.24267220765656736,0.8091787207922978,0.010633932659379867,1.2569714240436858,0.21417378189951852,0.06509276050842132,0.5670698152034055,False,0,False
Fz,52,0.45038878343649696,0.6543389957568397,0.0188147046411707,0.04177436324593438,0.062457686637466786,0.8496075037219849,0.399514142781061,0.035128458006243764,0.041346689915463336,0.117819362257253,1.0441455204253305,0.3013421592996782,0.04464733958717409,0.042759690784276015,0.1447969312669062,1.2402548434063323,0.2205570491177265,0.05756365706017563,0.046412765381410113,0.17199240125169582,1.3450312810629512,0.1845660082329647,0.06799170954686232,0.05055028124931774,0.18652227888367257,-1.3272677686106902,0.19033144851170508,-0.042907077896048924,0.03792226264606352,0.9698977178335515,0.0017402616911249985,0.44576076194465664,False,0,False
O1,54,0.6222884400922252,0.5364203695259422,0.0250926519088591,0.04032318502516338,0.08468273061435833,0.621985236857616,0.5366182044943113,0.0243939333026975,0.03921947315974917,0.08464146988029421,0.5787630566957948,0.5652006671777592,0.023986239283938678,0.041443970907331346,0.07875967615989933,0.4958990167579952,0.6220158868748085,0.02343303297147876,0.047253638703854024,0.06748330861138738,0.4285277964973846,0.6700035415830785,0.022986399132200606,0.05364039233879872,0.058315246778767815,0.044221994213355986,0.9648936444008237,0.0018377115916304824,0.5441016803559817,0.5886533018400704,0.025823950875569292,0.5734171620943002,False,0,False
O2,55,1.4398789137789503,0.15567417383017704,0.058034639283484006,0.04030522200729544,0.19415323312669816,0.7603999340031432,0.4503230315201746,0.03082132648621519,0.04053304729256826,0.10253230618439552,0.34874584749454013,0.728636254993223,0.014942681263062823,0.042846908057584135,0.04702488048308916,-0.13732032504664468,0.8912883421973404,-0.0066032977471479305,0.048086819958406996,-0.01851626885197111,-0.44738900583954233,0.6563837308372455,-0.023998549951591258,0.05364134933659596,-0.06032592124091721,1.9379845476552704,0.05786109054997866,0.07157419300587221,1.9213612925747527,0.05997098272648157,0.08651687426893498,0.4677455207000859,False,0,False
Oz,55,2.1842931520406488,0.03330229218340148,0.09149249190432558,0.04188654431244719,0.29453002853704136,1.7560863562064617,0.08474387267708568,0.07199435507580948,0.04099704711067475,0.23679063596559452,1.42195991422382,0.1607883378427718,0.060617423515916355,0.04262948829257575,0.19173703571958858,0.9601697329100417,0.34124947782746684,0.04517988932171167,0.04705406531070541,0.12946926037386358,0.6282094900377875,0.5325147720604373,0.03271632010558815,0.05207867856886438,0.08470775035631596,1.3987642116374812,0.16760112615673053,0.0512823785555127,2.3601719888594284,0.02190907927581687,0.11189980207142909,0.5105013797515255,True,1,True
P1,55,0.2324612231066291,0.8170586005614546,0.007583407238596898,0.03262224614175078,0.03134506492930527,0.3855542967589578,0.7013414798056691,0.011487807412385045,0.029795563190330707,0.05198813076940028,0.46409721499746787,0.644443671617468,0.013765978601267971,0.029661842726944786,0.0625788557041733,0.5382146521863364,0.5926404852524805,0.01685726428260362,0.031320708594844114,0.07257284889594594,0.5690328396945094,0.5716931627330673,0.019353028992916067,0.034010390337587404,0.07672837245182126,-0.38505449034507305,0.70170955950885,-0.010269028754151683,0.09123506403512392,0.9276434163537954,0.003496949847116391,0.6361418894017471,False,0,False
P2,55,0.3615842372088654,0.7190737575101087,0.012131450781068377,0.03355082863875166,0.04875600859901868,0.7392727094838968,0.46294300938538,0.021861089470577803,0.029571075991482936,0.09968351181137432,0.9320634508605454,0.3554524393104329,0.027538218236601866,0.029545432997267168,0.12567941007543892,1.0918381649029993,0.2797517700492968,0.03524160196436845,0.032277312789757054,0.14722342812194414,1.1404022647433127,0.2591515467546906,0.041460966733479536,0.03635644019245417,0.15377181000854226,-0.7765036256330528,0.4408397611704562,-0.025590086830966453,0.04690698780435557,0.9627604079109685,0.001948131405635355,0.7079787574577544,False,0,False
P3,55,0.8864467640503808,0.37930767309473534,0.02782702598018958,0.03139164934512417,0.11952845728075057,1.158788000452433,0.25164149854437845,0.030034277071290076,0.025918698726223953,0.1562509421058171,1.2761146227796163,0.20737654285239365,0.03132218190136707,0.024544959631558408,0.17207126063306988,1.304784916066302,0.19749934700870922,0.033069759861956045,0.02534498939614935,0.17593716219120273,1.228989503265758,0.2244045180962509,0.03448067553011653,0.028056118818339804,0.1657169108141085,-0.1989811759007985,0.8430247889405957,-0.005805328325285718,0.6424959301601609,0.5232698402576178,0.025516853576081418,0.7879674546611758,False,0,False
