subject,session,condition,channel,aperiodic_exponent,aperiodic_offset,n_peaks
sub-08,ses-1,SD,C3,0.9978708816040083,-11.83291830113206,3
sub-08,ses-1,SD,C5,1.0321582658149562,-11.53259944047462,5
sub-08,ses-1,SD,T7,1.0172865340776651,-11.13509393945166,0
sub-08,ses-1,SD,CP1,1.101495546374748,-11.92880017109043,4
sub-08,ses-1,SD,CP3,0.9894545639560501,-11.89665580701241,4
sub-08,ses-1,SD,CP5,1.0742795234989186,-11.546228587397056,4
sub-08,ses-1,SD,TP7,0.7613443116279688,-11.301903589824565,0
sub-08,ses-1,SD,TP9,0.7642918969629815,-11.300478193915158,3
sub-08,ses-1,SD,Pz,1.035960923365962,-11.817399502831924,2
sub-08,ses-1,SD,P1,1.1358097014618396,-11.675687932191444,4
sub-08,ses-1,SD,P3,1.0054870622714362,-11.726161926522488,3
sub-08,ses-1,SD,P5,1.042143996703405,-11.448511917178086,3
sub-08,ses-1,SD,P7,0.9283383985166445,-11.478902418540441,6
sub-08,ses-1,SD,PO3,1.0653536703491848,-11.490973306731256,4
sub-08,ses-1,SD,PO7,0.8666816195819775,-11.473313003932889,4
sub-08,ses-1,SD,Oz,0.862402012246772,-11.503786051114972,3
sub-08,ses-1,SD,O1,0.8984082282511889,-11.486614598575734,3
sub-08,ses-1,SD,Fpz,0.9454486642602711,-11.485606012285968,2
sub-08,ses-1,SD,AF4,1.3527264026696273,-11.098483953886493,1
sub-08,ses-1,SD,AF8,1.1182927263198659,-10.767289889801528,1
sub-08,ses-1,SD,F2,1.068984206109065,-11.69304031325665,2
sub-08,ses-1,SD,F4,0.9154148697660109,-11.584796799844174,2
sub-08,ses-1,SD,F6,1.1495714635215912,-11.061374167486498,1
sub-08,ses-1,SD,F8,1.3124254641134807,-10.837564387944333,0
sub-08,ses-1,SD,FC4,0.9242579931911502,-11.834469653127421,2
sub-08,ses-1,SD,FC6,1.1881033801208833,-11.274467024035914,1
sub-08,ses-1,SD,FT8,1.1610153563140442,-11.228437447692682,2
sub-08,ses-1,SD,C2,0.9725787270829596,-12.315594056657952,3
sub-08,ses-1,SD,C4,1.2640486012117114,-11.44463975655356,1
sub-08,ses-1,SD,C6,1.1122723420150566,-11.510257128957132,5
sub-08,ses-1,SD,T8,1.0132179978113809,-11.486631016070328,5
sub-08,ses-1,SD,CPz,1.0173813301149046,-12.317199458953436,5
sub-08,ses-1,SD,CP2,1.0635542082966891,-11.9192561792544,2
sub-08,ses-1,SD,CP4,1.104106694504519,-11.661219272545397,3
sub-08,ses-1,SD,CP6,1.0779916475618463,-11.5633478884525,3
sub-08,ses-1,SD,TP8,1.0012311310577642,-11.478122726753968,3
sub-08,ses-1,SD,TP10,0.8796312255228442,-11.418123731456749,2
sub-08,ses-1,SD,P2,1.1366264711220775,-11.560895905243113,2
