subject,channel,aperiodic_exponent_NS,aperiodic_offset_NS,aperiodic_exponent_SD,aperiodic_offset_SD,ap_delta_NS,ap_delta_SD,diff_ap_delta,ap_theta_NS,ap_theta_SD,diff_ap_theta,ap_alpha_NS,ap_alpha_SD,diff_ap_alpha,ap_beta_NS,ap_beta_SD,diff_ap_beta,ap_gamma_NS,ap_gamma_SD,diff_ap_gamma,diff_exponent,diff_offset
sub-07,FC4,1.2469246110016157,-11.51171640070587,0.9379953324008564,-11.457727036859524,-12.00791759122123,-11.83099290756945,0.17692468365177838,-12.482012345890915,-12.187629277621271,0.294383068269644,-12.758641011707486,-12.39572236926038,0.3629186424471058,-13.134002721950614,-12.678087100105845,0.45591562184476864,-13.437052846267363,-12.9060556553694,0.5309971908979634,-0.30892927860075925,0.05398936384634645
sub-07,FC6,1.1750874149575012,-11.2877540346529,0.6499739148236741,-11.30756065725562,-11.755368330751491,-11.56621128255715,0.18915704819434076,-12.202149775912163,-11.813338671792414,0.38881110411974973,-12.462841449610401,-11.957534572079293,0.5053068775311083,-12.816578009039857,-12.153196216840366,0.6633817921994911,-13.102168961406951,-12.311164608796103,0.7910043526108481,-0.5251135001338272,-0.019806622602718704
sub-07,FT8,1.4153409394465286,-11.10346924602275,0.4917507802265664,-11.247987943988807,-11.666690031739991,-11.443675253736648,0.22301477800334268,-12.204818567772227,-11.630644428499242,0.5741741392729853,-12.518810185469277,-11.739738724215373,0.7790714612539045,-12.944870262333922,-11.887770459454737,1.0570998028791845,-13.288851962482832,-12.007284609520964,1.2815673529618685,-0.9235901592199622,-0.14451869796605799
sub-07,C2,1.119351835854658,-12.007337127658728,0.8926171476897566,-12.363993773662866,-12.452772006925791,-12.719201849155338,-0.266429842229547,-12.878362158348256,-13.058584923251532,-0.1802227649032755,-13.126688963513386,-13.256610921352623,-0.12992195783923677,-13.463647441807183,-13.525315457451265,-0.06166801564408253,-13.73569252778672,-13.74225538724971,-0.006562859462990289,-0.22673468816490128,-0.35665664600413827
sub-07,C4,1.283222484740358,-11.410406222470543,0.9718849704167724,-11.82839793517639,-11.921051789176275,-12.215149848732263,-0.29409805955598856,-12.40894740349166,-12.584671440135272,-0.17572403664361325,-12.693628707210902,-12.800282905593162,-0.10665419838226065,-13.079917166228215,-13.092849434023613,-0.012932267795397578,-13.39178905494989,-13.329054460781242,0.06273459416864746,-0.3113375143235856,-0.417991712705847
sub-07,C6,1.0781412222380735,-11.40975316048263,0.9848375480144312,-11.435667480975514,-11.83878868780973,-11.827573743372925,0.011214944436805041,-12.248710100657338,-12.202020050387706,0.04669005026963191,-12.487894382720704,-12.420505028989945,0.06738935373075883,-12.81244723017619,-12.716970671798455,0.09547655837773483,-13.074476569037188,-12.956323667740877,0.11815290129631073,-0.09330367422364227,-0.025914320492884002
sub-07,T8,1.2571275281631504,-11.099322350781216,0.4370714768910861,-11.399160950752815,-11.599583690240317,-11.573089178057154,0.02649451218316301,-12.077557708713071,-11.739268667002639,0.33828904171043206,-12.356449878944368,-11.836232427643901,0.520217451300466,-12.734882973296392,-11.967804052437275,0.7670789208591167,-13.040412794690988,-12.074029051317321,0.9663837433736671,-0.8200560512720643,-0.2998385999715989
sub-07,CP2,1.1457736594260657,-11.911318930278792,1.2160208885557444,-11.392159909438847,-12.367268110246993,-11.876063272376099,0.4912048378708942,-12.802904136017828,-12.338408084361129,0.46449605165669894,-13.057092589704858,-12.608180797994592,0.4489117917102661,-13.40200482943379,-12.974239560803838,0.4277652686299529,-13.680471423856856,-13.2697789047202,0.4106925191366564,0.07024722912967873,0.519159020839945
sub-07,CP4,1.1860413108922443,-11.563798779615166,1.0683920440107288,-11.342431069030567,-12.03577206915702,-11.767587008289333,0.2681850608676868,-12.486718308692621,-12.173801673977453,0.31291663471516884,-12.74984009050741,-12.410823113041296,0.33901697746611426,-13.106874101182605,-12.732441165417278,0.3744329357653271,-13.39512726704319,-12.992101083025608,0.40302618401758217,-0.11764926688151545,0.22136771058459814
sub-07,CP6,1.1479975616623697,-11.40878974120581,0.7415491114424324,-11.24961890495222,-11.865623900849211,-11.544710964790363,0.3209129360588481,-12.302105479250757,-11.826656273242028,0.4754492060087294,-12.55678730286818,-11.991168016394653,0.5656192864735274,-12.902369003877665,-12.214396542196797,0.687972461680868,-13.181376091160711,-12.39462119124682,0.7867548999138911,-0.40644845021993725,0.1591708362535904
