subject,session,condition,channel,aperiodic_exponent,aperiodic_offset,n_peaks
sub-07,ses-1,NS,C1,1.1230660135226576,-12.201217059750558,3
sub-07,ses-1,NS,C3,1.2122010322890449,-11.619587081788483,3
sub-07,ses-1,NS,C5,1.2272131511524975,-11.306262615730416,2
sub-07,ses-1,NS,CP1,1.2195802022608306,-11.754982281241718,2
sub-07,ses-1,NS,CP3,1.192485466239455,-11.591817947606264,2
sub-07,ses-1,NS,CP5,1.237716289840165,-11.34351625371417,3
sub-07,ses-1,NS,TP7,1.127803059051538,-11.014133841667586,3
sub-07,ses-1,NS,TP9,1.1208113919970009,-11.014672217872624,3
sub-07,ses-1,NS,Pz,1.3044632079023655,-11.372590054734262,2
sub-07,ses-1,NS,P1,1.206668258103217,-11.446473784394515,2
sub-07,ses-1,NS,P3,1.1402613583122692,-11.344852291077911,3
sub-07,ses-1,NS,P5,1.154846347681689,-11.261347118246304,4
sub-07,ses-1,NS,P7,1.2323401195746015,-11.08374316905123,2
sub-07,ses-1,NS,PO3,1.0885277400301734,-11.246945213311953,2
sub-07,ses-1,NS,PO7,1.3443131767193408,-10.920021147795234,3
sub-07,ses-1,NS,Oz,1.0741524316976576,-11.151478829755117,2
sub-07,ses-1,NS,O1,1.1942864787396978,-11.101896157341914,2
sub-07,ses-1,NS,Fpz,1.2774742186697248,-11.12475551442106,2
sub-07,ses-1,NS,Fp2,1.334554482350102,-10.95136501820548,3
sub-07,ses-1,NS,AF4,1.285005563030868,-11.138248479004737,2
sub-07,ses-1,NS,AF8,1.5640915207647994,-10.628203826944963,2
sub-07,ses-1,NS,F2,1.2964745161401083,-11.42390903436442,2
sub-07,ses-1,NS,F4,1.3036483950389814,-11.239367984828853,2
sub-07,ses-1,NS,F6,1.3878687891479788,-11.01881471673447,2
sub-07,ses-1,NS,F8,1.4991880032141216,-10.778374635711854,2
sub-07,ses-1,NS,FC4,1.2469246110016157,-11.51171640070587,2
sub-07,ses-1,NS,FC6,1.1750874149575012,-11.287754034652899,3
sub-07,ses-1,NS,FT8,1.4153409394465286,-11.10346924602275,4
sub-07,ses-1,NS,C2,1.1193518358546581,-12.007337127658728,3
sub-07,ses-1,NS,C4,1.283222484740358,-11.410406222470543,3
sub-07,ses-1,NS,C6,1.0781412222380735,-11.40975316048263,4
sub-07,ses-1,NS,T8,1.2571275281631504,-11.099322350781216,3
sub-07,ses-1,NS,CPz,1.2280103287722535,-11.89165540572139,2
sub-07,ses-1,NS,CP2,1.1457736594260655,-11.911318930278792,2
sub-07,ses-1,NS,CP4,1.1860413108922445,-11.563798779615166,2
sub-07,ses-1,NS,CP6,1.1479975616623697,-11.40878974120581,3
sub-07,ses-1,NS,TP8,1.1515933592746663,-11.196209522303088,4
sub-07,ses-1,NS,P2,1.1799233327542173,-11.459447511789408,2
sub-07,ses-1,NS,P4,1.140745001169433,-11.343421771002822,2
sub-07,ses-1,NS,P6,1.0714629953869,-11.287186970600406,4
sub-07,ses-1,NS,P8,1.1858488396987477,-11.30705210189777,4
sub-07,ses-1,NS,POz,1.1494729359062639,-11.257482213112668,2
sub-07,ses-1,NS,PO4,1.0562257083768536,-11.311605262887802,2
sub-07,ses-1,NS,PO8,1.2265592010335074,-11.096529937029851,5
sub-07,ses-1,NS,O2,1.265981725624009,-10.920483657360077,3
sub-13,ses-2,NS,Fp1,0.6969197536508256,-11.124014885828528,1
sub-13,ses-2,NS,AF3,0.8280510438839304,-11.274091106300748,2
sub-13,ses-2,NS,AF7,1.1745291547687573,-10.78914654121982,0
sub-13,ses-2,NS,Fz,0.8910675178590416,-11.845474112171615,3
sub-13,ses-2,NS,F1,1.0122815201402584,-11.617975558127103,4
sub-13,ses-2,NS,F3,0.9706659661117566,-11.330336563818454,4
sub-13,ses-2,NS,F5,0.9978484227463764,-10.874783728609849,0
sub-13,ses-2,NS,F7,1.4143716794968173,-10.317477448113019,0
sub-13,ses-2,NS,FC1,0.8735231046068223,-11.974653395328566,3
sub-13,ses-2,NS,FC3,0.8269876962129701,-11.565973748200033,2
sub-13,ses-2,NS,FC5,0.9939443614871273,-10.968123029718436,2
sub-13,ses-2,NS,FT7,1.1839858985884124,-10.700056635925,3
sub-13,ses-2,NS,Cz,0.8894822754996738,-39.43282962432312,3
sub-13,ses-2,NS,C1,1.126257310680937,-11.906988537724914,3
sub-13,ses-2,NS,C3,1.0412387877337863,-11.547568816775023,3
sub-13,ses-2,NS,C5,1.103126922681395,-11.179642546404423,3
sub-13,ses-2,NS,T7,1.0433627308988844,-10.950263880378134,5
sub-13,ses-2,NS,CP1,1.1160531603791333,-11.813757352583988,3
sub-13,ses-2,NS,CP3,1.1590592192886053,-11.50040063645865,3
sub-13,ses-2,NS,CP5,1.202344818469106,-11.213739264271195,3
sub-13,ses-2,NS,TP7,1.0476927438099652,-11.12665520913097,3
sub-13,ses-2,NS,TP9,1.1403888828050615,-11.131130733339058,4
sub-13,ses-2,NS,Pz,1.0459791108447194,-11.585394922814942,2
sub-13,ses-2,NS,P1,1.1718891120839614,-11.433857714877355,3
sub-13,ses-2,NS,P3,1.1716929094909188,-11.328514469691934,4
sub-13,ses-2,NS,P5,1.1449728934621093,-11.257309303436003,2
sub-13,ses-2,NS,P7,1.153947545874454,-11.020051768201673,3
sub-13,ses-2,NS,PO3,1.2087377171649303,-11.100007677034236,2
sub-13,ses-2,NS,PO7,1.112671807418421,-11.107424504992332,4
sub-13,ses-2,NS,Oz,1.0762448063975263,-11.203565591754009,3
sub-13,ses-2,NS,O1,1.0447864069427266,-11.165869092968983,3
sub-13,ses-2,NS,Fpz,0.6418218952334305,-11.34224398014556,2
sub-13,ses-2,NS,Fp2,1.1691563685860658,-10.895292466531368,1
sub-13,ses-2,NS,AF4,0.6677399586447859,-11.456881248360416,4
sub-13,ses-2,NS,AF8,1.2688214053947828,-10.463563885641227,1
sub-13,ses-2,NS,F2,0.9774546060044635,-11.644235371045587,4
sub-13,ses-2,NS,F4,0.9668149968092643,-11.359552384378507,4
sub-13,ses-2,NS,F6,1.160741659867424,-10.865098490572406,1
sub-13,ses-2,NS,F8,1.4380267024834013,-10.439973654132363,1
sub-13,ses-2,NS,FC2,0.9560049189403803,-11.930846073365663,5
sub-13,ses-2,NS,FC4,0.9025595857893314,-11.590159410486967,4
sub-13,ses-2,NS,FC6,1.0745315377310989,-11.044597358935265,0
sub-13,ses-2,NS,FT8,0.8302119279172846,-10.959779818433958,1
sub-13,ses-2,NS,C2,1.03477289923304,-12.008556893179865,5
sub-13,ses-2,NS,C4,0.8625184672154415,-11.592807607004106,3
sub-13,ses-2,NS,C6,0.6045855579469713,-11.482080174509898,2
sub-13,ses-2,NS,T8,0.8296776343566724,-11.11425726741767,2
sub-13,ses-2,NS,CPz,1.0826369333682313,-11.956832177309701,2
sub-13,ses-2,NS,CP2,1.1076772861309203,-11.746550877350236,3
sub-13,ses-2,NS,CP4,1.059930555534427,-11.458946450254771,4
sub-13,ses-2,NS,CP6,0.9802885440713363,-11.387380510210496,3
sub-13,ses-2,NS,TP8,1.107609539771833,-11.160195626568612,2
sub-13,ses-2,NS,TP10,1.459506625302839,-10.41649537389404,0
sub-13,ses-2,NS,P2,1.1112411832168427,-11.546783072336352,3
sub-13,ses-2,NS,P4,1.116208846737658,-11.431564566577972,3
sub-13,ses-2,NS,P6,1.13711687344024,-11.249717810945524,3
sub-13,ses-2,NS,P8,1.1285633875088679,-11.21773961034573,3
sub-13,ses-2,NS,POz,1.012746860923937,-11.403511223496066,1
sub-13,ses-2,NS,PO4,1.1176858530569096,-11.293837059097505,3
sub-13,ses-2,NS,PO8,1.1423962248142285,-11.147995027081123,3
sub-13,ses-2,NS,O2,1.103787889166626,-11.17444110586459,3
sub-14,ses-2,NS,Fp1,1.1575797283072164,-11.340332174100348,0
sub-14,ses-2,NS,AF3,1.1166518334508273,-11.472985653679522,2
sub-14,ses-2,NS,AF7,1.2026527527826165,-11.09544916950436,1
sub-14,ses-2,NS,Fz,1.45310580881597,-11.199645581382143,2
sub-14,ses-2,NS,F1,1.3794952116164139,-11.300966953597602,5
sub-14,ses-2,NS,F3,1.2415383505291497,-11.39051629003642,3
sub-14,ses-2,NS,F5,1.1288047527411493,-11.415594173088019,3
sub-14,ses-2,NS,F7,1.258628296383511,-11.139266135143133,0
sub-14,ses-2,NS,FC1,1.3417323761992752,-11.426025229130333,2
sub-14,ses-2,NS,FC3,1.0934175814089167,-11.662058229819303,4
sub-14,ses-2,NS,FC5,1.049723820654488,-11.603432193119296,1
sub-14,ses-2,NS,FT7,1.2692057346758967,-11.497197764109158,4
sub-14,ses-2,NS,Cz,1.393400623826461,-11.520994805332482,3
sub-14,ses-2,NS,C1,1.2844505659656857,-11.567108845325299,1
sub-14,ses-2,NS,C3,1.2282739893937344,-11.703657931817002,3
sub-14,ses-2,NS,C5,1.2068131355486622,-11.668695592180981,2
sub-14,ses-2,NS,T7,1.274970688655518,-11.566577599465115,2
sub-14,ses-2,NS,CP1,1.371310470795522,-11.60901056961268,1
